Label Id,Element Label,# Samples,Avg. Response Time (ms),Avg. Hits/s,90% line (ms),95% line (ms),99% line (ms),Min Response Time (ms),Max Response Time (ms),Avg. Bandwidth (KBytes/s),Error Percentage,Has Label Passed Thresholds,Concurrency
b5c7aed7cd2a308523e7d2847b7815909e864b2fd9c4ea88b00d35adb2ecdfd7,ALL,102843,454.55,85.77,256,3669,4021,215,5391,174.64,70.58,,20
1dbd49dac3fe6a024f1b3e1c25f2f39d90d9431ed0ce603e0dd5280cebf7c559,https://z0884w048cogc0k40cko0wso.coolify-vm-2-bd.aukikaurnab.com/chats?isProject=true,6055,239.2,5.06,251,254,264,215,1291,2.72,100,,20
d24f83e98ae0f9daf632d75f5468f6f171f99bd1dd63c437f6470db2a7f15788,https://ug48g840wsgoscg8w8c0swgw.coolify-vm-2-bd.aukikaurnab.com/chats/8265d373-f8b0-4089-a8a2-335c072e7159?_rsc=yb5oe,6050,240.32,5.06,253,257,268,217,814,3.71,0,,20
dae04b265ff7f1fa4364da97ef686d74c8af8793e7b7e0fb597484d9f765ca1b,https://z0884w048cogc0k40cko0wso.coolify-vm-2-bd.aukikaurnab.com/explanations/generate,6041,239.38,5.06,251,254,263,216,1298,2.72,100,,20
c1317ce64c6445d35150cb9dc26a880bec78ee47dd62377e6f8e2944c52c42ac,https://ug48g840wsgoscg8w8c0swgw.coolify-vm-2-bd.aukikaurnab.com/chats/8265d373-f8b0-4089-a8a2-335c072e7159?source=aab5a820-daaf-4f18-8718-cc64e2a871d5&_rsc=1ftpk,6050,242.65,5.06,256,259,272,218,768,19.48,0,,20
04dbbc9dae7174bba3d64001f044571579cc63f6e742e9e147b423eb75897212,https://ug48g840wsgoscg8w8c0swgw.coolify-vm-2-bd.aukikaurnab.com/chats/8265d373-f8b0-4089-a8a2-335c072e7159?source=aab5a820-daaf-4f18-8718-cc64e2a871d5&_rsc=zbtfb,6050,242.09,5.06,255,258,271,219,808,9.1,0,,20
f8dadcc9de5c10010ec81f8aa4398c1f90d03bdd9be77ebc1f7d75f979389fc1,https://z0884w048cogc0k40cko0wso.coolify-vm-2-bd.aukikaurnab.com/chats?isProject=false,6056,238.78,5.06,251,254,263,215,1298,2.71,100,,20
a0055d6346155f0c898c578d5eca50a7b6b79632e28f0e867dc40e5ac161e09f,https://z0884w048cogc0k40cko0wso.coolify-vm-2-bd.aukikaurnab.com/chats/8265d373-f8b0-4089-a8a2-335c072e7159,6054,237.77,5.06,251,253,262,215,767,2.72,100,,20
1341d6000e55e074e0415df0621ec3685ddfedb9b0d076300ecf0d819bd78ac2,https://z0884w048cogc0k40cko0wso.coolify-vm-2-bd.aukikaurnab.com/sources/get-all,12113,241.3,10.1,251,254,267,216,1309,5.42,100,,20
23360e76230b8314dbe1adea07b2f9f185db5620c597307d86b9565c4702a300,https://z0884w048cogc0k40cko0wso.coolify-vm-2-bd.aukikaurnab.com/sources/aab5a820-daaf-4f18-8718-cc64e2a871d5,6046,245.9,5.06,251,255,715,215,1303,2.72,100,,20
0795eff93796b2491f922b2b99c594d3512678115a61b0b9e056b2fe3ea2520d,https://z0884w048cogc0k40cko0wso.coolify-vm-2-bd.aukikaurnab.com/chats,6056,238.21,5.06,251,254,263,216,1269,2.71,100,,20
2df7512a25cea17cdb1f2ade42ae5f59c2bef77a18f51badb6299e538f2857d4,https://z0884w048cogc0k40cko0wso.coolify-vm-2-bd.aukikaurnab.com/chats/8265d373-f8b0-4089-a8a2-335c072e7159/explanations,12084,238.66,10.11,251,254,263,215,1310,5.43,100,,20
817c3dc01c163600366b3ae27a0c8f5c622ef0e19edf15780aad15182267f585,https://z0884w048cogc0k40cko0wso.coolify-vm-2-bd.aukikaurnab.com/chats/8265d373-f8b0-4089-a8a2-335c072e7159/infographics,6045,238.88,5.06,251,253,263,215,1306,2.72,100,,20
8f0cc8b18af557f6e152c70233740e0abd96e0c9baf111bb91f97be4b2e8f508,https://ug48g840wsgoscg8w8c0swgw.coolify-vm-2-bd.aukikaurnab.com/chats/8265d373-f8b0-4089-a8a2-335c072e7159?_rsc=1lorr,6055,260.12,5.06,258,269,737,219,844,21.79,0,,20
532eaabd9574880dbf76b9b8cc00832c20a6ec113d682299550d7a6e0f345e25,Test,6038,3867.31,5.07,4187,4335,4739,3488,5391,87.81,100,,20
1567ac8461e60dc3bc4a31535d12f42a880c1bf0e5906b5cc325c7c15539c515,https://ug48g840wsgoscg8w8c0swgw.coolify-vm-2-bd.aukikaurnab.com/chats/8265d373-f8b0-4089-a8a2-335c072e7159?source=aab5a820-daaf-4f18-8718-cc64e2a871d5&_rsc=yb5oe,6050,244.23,5.06,254,258,679,218,807,3.71,0,,20
